tgl-laporan,title,link,content,jenis_laporan,tingkat_urgensi
"30 Apr, 8:22",magnet motor terkunci,https://www.lapor.go.id/laporan/detil/magnet-motor-terkunci-202504301522491746001369090,"laporan warga bojonegoro rombongan ziarah makam sunan bonang , ziarah mampir indomart jl . pemuda . sepeda motor diparkir dikunci setir , dicek magnet kunci hilang kontak dibuka . dibuka mandiri berkali kali , keterbatasan alat menghubungi damkar tuban bantuan membukakan kontak sepeda motor",Penyelamatan Non Hewan & Bantuan Teknis,Normal
"30 Apr, 8:19",ular meresahkan warga,https://www.lapor.go.id/laporan/detil/ular-meresahkan-warga-202504301519351746001175304,ular pemukiman warga desa bejagung kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:14",ular diatas plafon rumah,https://www.lapor.go.id/laporan/detil/ular-diatas-plafon-rumah-202504301514521746000892348,laporan warga kelurahan sidorejo kecamatan tuban ular phyton 4 1 ekor plafon rumah .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:13",ular di kandang warga,https://www.lapor.go.id/laporan/detil/ular-di-kandang-warga-202504301513011746000781477,laporan permintaan evakuasi ular kandang salah warga desa . mulyorejo parengan .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:05",pelepasan cincin,https://www.lapor.go.id/laporan/detil/pelepasan-cincin-202504301505161746000316244,permohonan bantuan pelepaskan cincin titanium warga desa sadang kecamatan jatirogo jari tangannya . korban temannya langsung pos damkar berupaya melepaskan cincin minyak sabun hasilnya nihil .,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"30 Apr, 8:02",ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202504301502231746000143805,laporan ular salah warga kelurahan latsari kecamatan tuban ular ditumpukan kayu,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:58",ular di dalam rumah,https://www.lapor.go.id/laporan/detil/ular-di-dalam-rumah-202504301458121745999892650,"laporan salah warga desa sumurjalak kecamatan plumpang ular rumahnya ,",Evakuasi/Penyelamatan Hewan,Immediat
"30 Apr, 7:52",evakuasi tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202504301452341745999554399,laporan evakuasi tawon salah warga kelurahan karang kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:49",ular di pekarangan rumah,https://www.lapor.go.id/laporan/detil/ular-di-pekarangan-rumah-202504301449361745999376540,laporan salah warga kelurahan gedongombo kecamatan semanding mendapati ular masuk area dapur pekarangan rumah,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:47",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301447311745999251722,laporan salah warga desa nguruan kecamatan soko ular masuk rumah,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:45",sarang tawon meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-meresahkan-202504301445071745999107372,laporan permohonan evakuasi sarang tawon avinis warga desa sugihan kecamatan jatirogo atap genteng diameter 60cm,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:42",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301442181745998938840,laporan permohonan evakuasi ular cobra salah warga desa rengel kecamatan rengel kandang ayam 1 m .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:40",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301440061745998806966,laporan warga desa rengel kecamatan rengel ular pyton masuk kandang ayam warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:37",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301437571745998677995,laporan permohonan evakuasi sarang tawon warga desa tuwiri kulon kecamatan merakurak,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:35",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301435511745998551853,laporan warga kelurahan sendangharjo kecamatan tuban ular plafon rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:34",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301434011745998441240,laporan salah warga desa suwalan kecamatan jenu ular meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:32",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301432061745998326936,laporan salah warga desa trutup kecamatan rengel ular masuk rumah pelapor,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:29",ular diatas plafon,https://www.lapor.go.id/laporan/detil/ular-diatas-plafon-202504301429561745998196096,laporan salah warga desa gadon kecamatan tambakboyo ular plafon rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:27",ular diatas pohon,https://www.lapor.go.id/laporan/detil/ular-diatas-pohon-202504301427571745998077435,laporan salah warga kelurahan kingking kecamatan tuban ular pohon pekarangan rumhanya . evakuasi,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:26",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301426141745997974957,laporan permohonan evakuasi sarang tawon avinis salah warga desa wotsogo kecamatan jatirogo pohon mangga musala diameter 40cm,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:24",Ular pito di dapur,https://www.lapor.go.id/laporan/detil/ular-pito-di-dapur-202504301424201745997860900,laporan salah warga desa sidomulyo kecamatan jatirogo ular piton berukuran 2.5 1 ekor atap dapur ular piton meresahkan aktivitas pemilik rumah tetangga warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:21",Ular di pekarangan rumah,https://www.lapor.go.id/laporan/detil/ular-di-pekarangan-rumah-202504301421391745997699534,laporan warga desa panyuran kecamatan palang ular phyton 3 1 ekor pekarangan rumah .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:18",Ular di Mesin Cuci,https://www.lapor.go.id/laporan/detil/ular-di-mesin-cuci-202504301418471745997527554,laporan warga kelurahan karangsari kecamatan tuban ular jenis tali picis berukuran mesin cuci rumah .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:16",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301416361745997396826,laporan warga desa pucangan kecamatan palang ular phyton 3 1 ekor bongkaran pedel,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:13",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301413131745997193917,laporan warga desa sawahan kecamatan rengel ular berkeliaran meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 7:10",Ular masuk Kandang Ayam,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-ayam-202504301410131745997013930,laporan warga desa sugihan kecamatan jatirogo ular piton berukuran 3 1 ekor kandang ayam .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 4:08",ular masuk kandang kambing,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-kambing-202504301108511745986131815,laporan ular kandang kambing milik warga desa jegulo kecamatan soko,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 4:06",ular cobra,https://www.lapor.go.id/laporan/detil/ular-cobra-202504301106581745986018777,laporan warga desa mentoso kecamatan jenu ular cobra meresahkan warga,Evakuasi/Penyelamatan Hewan,Immediat
"30 Apr, 11:03",Evakuasi Cincin,https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202504301103511745985831929,laporan salah warga kelurahan ronggomulyo kecamatan tuban bantuan melepaskan cincin akik jari bapaknya,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"30 Apr, 11:01",evakuasi biawak,https://www.lapor.go.id/laporan/detil/evakuasi-biawak-202504301101401745985700526,laporan warga desa panyuran kecamatan palang biawak salah rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 11:00",biawak masuk rumah,https://www.lapor.go.id/laporan/detil/biawak-masuk-rumah-202504301100121745985612649,laporan warga keluarahan mondokan kecamatan tuban biawak masuk rumah dievakuasi .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:56",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301056111745985371482,laporan warga link . kiring kecamatan semanding ular meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:54",Ular di atap rumah,https://www.lapor.go.id/laporan/detil/ular-di-atap-rumah-202504301054121745985252746,laporan evakuasi ular atap rumah warga kelurahan gedongombo kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:52",ular di gorong-gorong,https://www.lapor.go.id/laporan/detil/ular-di-gorong-gorong-202504301052071745985127995,laporan warga kelurahan latsari kecamatan tuban ular gorong gorong,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:47",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301047431745984863073,laporan ular rumah warga kelurahan perbon kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:45",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301045511745984751295,"laporan permohonan evakuasi ular cobra warga desa wotsogo kecamatan jatirogo kamar 1,2m .",Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:43",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301043411745984621378,"laporan permohonan evakuasi ular pyton atap rumah warga desa jegulo kecamatan soko , menyebabkan keresahan keluarga warga .",Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:40",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301040351745984435278,"laporan salah warga desa maibet kecamatan soko , ular dapur",Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:38",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301038281745984308376,laporan salah warga desa sumberagung kecamatan plumpang dirumahnya ular mengganggu,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:35",Ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301035571745984157559,laporan ular salah rumah warga desa mulyoagung kecamatan persinggahan,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:31",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301031411745983901369,laporan permohonan evakuasi ular pyton kandang ayam milik warga dusun wotsogo kecamatan jatirogo menyebabkan keresahan keluarga warga .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:28",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301028311745983711456,ular sawo kembang kandang ayam milik warga desa nguruan kecamatan soko,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 10:17",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301017071745983027691,api berasal konsleting listrik mengeluarkan percikan api menyambar benda terbuat kayu bahan mudah terbakar desa kebonharjo kecamatan jatirogo,Kebakaran,Immediat
"30 Apr, 10:14",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301014391745982879753,"kebakaran akibat korsleting listrik kecamatan rengel , mohon bantuan memadamkan",Kebakaran,Immediat
"30 Apr, 10:12",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504301012421745982762986,"salah warga mencium bau kebakaran menyengat , setika tetangga korban langsung rumah langsung kepulan api membakar rumah disamping rumahnya langsung teriak tolong warga langsung berkeliaran mencoba memadamkan api alat seadanya . api langsung menghubungi tim pemadam kebakaran jatirogo .",Kebakaran,Immediat
"30 Apr, 10:08",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301008501745982530308,kebakaran tabung lpg beserta regulator selang salah usaha kelurahan kutorejo kecamatan tuban,Kebakaran,Immediat
"30 Apr, 10:06",Kebakaran Toko,https://www.lapor.go.id/laporan/detil/kebakaran-toko-202504301006281745982388025,kebakaran toko bangunan desa sumurgung kecamatan palang,Kebakaran,Immediat
"30 Apr, 9:54",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504300954441745981684771,pemadam kebakaran warga kebakaran rumah desa gesikan kecamatan grabagan kabupaten tuban,Kebakaran,Immediat
"30 Apr, 9:53",Kebakaran Tempat Usaha,https://www.lapor.go.id/laporan/detil/kebakaran-tempat-usaha-202504300953061745981586544,kebakaran salah usaha milik warga desa glondonggede kecamatan tambakboyo akibat muncul percikan api instalasi listrik pasar menyambar 2 kios membakar 2 kios .,Kebakaran,Immediat
"30 Apr, 9:50",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504300950191745981419584,tolong damkar dibantu memadamkan api rumah warga desa cendoro kecamatan palang akibat pemilik rumah memasak dapur pemilik rumah mengisi pertalite eceran jirigen botol jual eceran . selang api menyambar uap bensin nyala kompor radius 2m .,Kebakaran,Immediat
"30 Apr, 9:47",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504300947311745981251920,"mohon bantuan memadamkan api pemukimana warga desa tuwiri kulon kecamatan merakurak , kebakaran salah rumah warga akibat tungku ditinggal pemilik rumah",Kebakaran,Immediat
"24 Apr, 10:29",Taman MPP Yang Meresahkan,https://www.lapor.go.id/laporan/detil/taman-mpp-yang-meresahkan-202504241029061745465346935,"izin keluhan terkait taman mpp pacaran mesum , mohon diperhatikan minimnya penerangan suasana gelap . lampu menyala . mohon ditindaklanjuti pengecekan penerangan area taman . semoga ditindaklanjuti . terima kasih",,
"8 Apr, 10:45",Musik Becak,https://www.lapor.go.id/laporan/detil/musik-becak-202504072145501744037150653,tolong ditertibkan musik becak ziarah wali sunan bonang keras . mengganggu kenyamanan warga malam bayi,,
"29 Mar, 21:39",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292139501743259190696,laporan warga kecamatan semanding ular tumpukan kayu rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:36",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292136541743259014733,laporan warga desa mulyoagung kecamatan persinggahan ular salah rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:34",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503292134231743258863103,"laporan warga kecamatan rengel , sarang tawon rumahnya ,",Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:31",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292131551743258715449,"laporan warga desa sidohasri kecamatan kenduruan ular tali piton berukuran 75cm 1 ekor masuk rumah usuk genteng kabur tandon air . ular tali picis meresahkan pelapor keluarga rumah , bersangkutan bantuan rekan damkar evakuasi .",Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:28",evakuasi biawak,https://www.lapor.go.id/laporan/detil/evakuasi-biawak-202503292128031743258483353,"laporan biawak rumah salah warga kelurahan sendangharjo kecamatan tuban , takut pelapor melaporkan biawak pos damkar",Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:23",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202503292123411743258221503,laporan warga desa sumberagung kecamatan plumpang ular masuk rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:20",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292120401743258040487,laporan warga kecamatan semanding ular salah rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:17",ular masuk motor,https://www.lapor.go.id/laporan/detil/ular-masuk-motor-202503292117311743257851447,laporan warga kelurahan sisorejo kecamatan tuban ular masuk sepeda motor warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:15",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292115211743257721726,laporan warga kelurahan kutorejo kecamatan tuban ular,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 21:12",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292112341743257554259,laporan ular sowo kembang rumah milik salah warga kecamatan rengel,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 12:29",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503291229091743226149516,permintaan evakuasi sarang tawon desa campurejo kecamatan rengel,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 12:26",ular di pemukiman warga,https://www.lapor.go.id/laporan/detil/ular-di-pemukiman-warga-202503291226401743226000135,laporan warga kelurahan sidorejo kecamatan tuban ular berkeliaran pemukiman warga,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 12:24",Tawon Afinis Meresahkan,https://www.lapor.go.id/laporan/detil/tawon-afinis-meresahkan-202503291224521743225892895,laporan salah karyawan sarang tawon kantor fire station pt . sg desa sumberarum kecamatan kerek,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 12:22",ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202503291222221743225742304,laporan warga desa sawahan kecamatan rengel ular gudang bersih bersih,Evakuasi/Penyelamatan Hewan,Segera
"29 Mar, 12:20",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503291220051743225605125,ular pyton salah rumah warga desa tunah kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:49",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271449251743061765120,laporan warga desa tasikmadu kecamatan palang,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:47",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271447581743061678142,laporan warga desa penambangan kecamatan semanding ular,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:43",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271443511743061431333,laporan warga kelurahan kutorejo kecamatan tuban ular rumahnya,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:35",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503271435301743060930614,laporan warga desa karangtinoto kecamatan rengel sarang tawon meresahkan,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:33",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271433301743060810071,laporan ular warga kelurahan latsari kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:31",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503271431491743060709757,laporan sarang tawon salah rumah warga desa banjarworo kecamatan bangilan,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:29",evakuasi ular pyton,https://www.lapor.go.id/laporan/detil/evakuasi-ular-pyton-202503271429361743060576754,"laporan warga desa wanglu kulon kecamatan senori ular pyton berukuran 3,5 meter dapur rumah miliknya . ular memangsa 3 anak ayam milik warga . ular pyton meresahkan aktivitas pemilik rumah warga ,",Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:27",evakuasi cincin,https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202503271427011743060421147,"permohonan bantuan warga mengevakuasi pelepasan cincin jari manis remaja bengkak . keterangan korban , cincin pakai pagi . ukuran cincinnya , jari korban cepat membengkak .",Penyelamatan Non Hewan & Bantuan Teknis,Normal
"27 Mar, 7:24",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271425001743060300761,laporan warga kelurahan ronggomulyo kecamatan tuban ular masuk rumah warga,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 7:23",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503271423171743060197727,laporan warga kelurahan kebonsari kecamatan tuban sarang tawon,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:21",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271421271743060087999,ular salah rumah warga kelurahan kutorejo kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:19",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503271419201743059960295,laporan sarang tawon atap rumah warga desa panyuran kecamatan palang,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:15",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271415131743059713742,laporan ular masuk rumah warga desa panyuran kecamatan palang,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:13",ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202503271413201743059600243,laporan salah warga desa kapu kecamatan semanding ular masuk rumah resah anggota keluarga,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:11",evakusi ular,https://www.lapor.go.id/laporan/detil/evakusi-ular-202503271411071743059467059,"laporan ular salah rumah warga kelurahan doromukti kecamatan tuban , mohon dibantu evakuasi",Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:08",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503271408521743059332360,mohon dievakuasi sarang tawon rumah warga kelurahan gedongombo kecamatan semanding meresahkan pemilik rumah,Evakuasi/Penyelamatan Hewan,Segera
"27 Mar, 14:06",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503271406411743059201760,laporan salah warga desa sumberagung kecamatan plumpang ular sowo rumah berukuran 2 meter,Evakuasi/Penyelamatan Hewan,Segera
