tgl-laporan,title,link,content,jenis_laporan,tingkat_urgensi,tingkat_bahaya
"Jumat, 07:51",Ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202505231451161747986676702,Laporan dari salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban terdapat Ular bersarang di bawah pot bekas ketika pelapor akan membersihkan rumah Karena sudah lama rumah tersebut tidak di tempati,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 07:45",Ular Meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202505231445521747986352476,Laporan dari salah satu warga di Desa Banyubang Kecamatan Grabagan bahwa ada ular welang yg berada di samping rumahnya,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 07:42",Ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202505231442101747986130665,Laporan dri salah satu warga di Desa Nguruhan Kecamatan Soko bahwa ada ular d kandang ayam miliknya.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 07:39",Ular Cobra Meresahkan,https://www.lapor.go.id/laporan/detil/ular-cobra-meresahkan-202505231439371747985977424,"Laporan dari warga Kelurahan Latsari Kecamatan Tuban ada Ular Jenis Cobra Jawa berukuran  1.5 m  yang berada di Taman belakang  rumahnya . Ular  tersebut meresahkan aktifitas yang punya rumah dan wargaSekitar, Selanjutnya yang bersangkutan meminta bantuan ke satuan Pol PP dan Damkar untuk dilakukan evakuasi",Evakuasi/Penyelamatan Hewan,Immediat,Bahaya Tinggi
"Jumat, 07:30",Sarang Lebah,https://www.lapor.go.id/laporan/detil/sarang-lebah-202505231430181747985418482,"Laporan permohonan evakuasi Sarang lebah yang berada di Kandang Ayam rumah warga di Desa Laju Kidul Kecamatan Singgahan Berdiameter 50 cm, Sarang lebah yang menyebabkan Keresahan bagi Keluarga dan Warga sekitar.",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 07:27",Ular di Atap Rumah,https://www.lapor.go.id/laporan/detil/ular-di-atap-rumah-202505231427461747985266465,Adanya ular cobra yg berada di atap rumah. Lanjut kita lakukan evakuasi ular tersebut di Desa Rengel Kecamatan Rengel,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:56",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301556461746003406427,Adanya sarang tawon avinis yg berada di atap rumah warga di Desa Sumberagung Kecamatan Plumpang,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:38",Evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301538081746002288871,Laporan permohonan evakuasi Sarang Tawon Dari Salah satu warga di Kelurahan Perbon Kecamatan Tuban yang berada di atap rumah  dan berdiameter  50 CM.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:35",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301535081746002108346,Laporan dari salah satu warga di Kelurahan Sukolilo Kecamatan Tuban ada Ular Piton berukuran  sekitar  3 m dan berjumlah 1 ekor di Samping rumah,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:32",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301532581746001978906,Laporan permohonan evakuasi ular pyton dari warga di Kelurahan Perbon Kecamatan Tuban,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:28",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301528271746001707505,Laporan objek Ular yg berada di Atas Kadang Ayam salah satu warga di Desa Bektiharjo Kecamatan Semanding,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:25",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301525161746001516187,Laporan permohonan evakuasi Sarang Tawon Avinis Dari Anggota Satpolairud Desa Margosuko Kecamatan Bancar yang berada di atas pohon di halaman Kantor SATPOLAIRUD POLRES TUBAN dengan diameter  30 cm,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:22",magnet motor terkunci,https://www.lapor.go.id/laporan/detil/magnet-motor-terkunci-202504301522491746001369090,"Laporan dari warga Dari bojonegoro rombongan mau ziarah di Makam Sunan Bonang, setelah ziarah mampir di Indomart Jl. Pemuda. Sepeda motor diparkir dan dikunci setir, setelah dicek magnet kunci sudah hilang semua dan kontak tidak bisa dibuka. Dibuka secara mandiri berkali-kali tidak bisa, karena keterbatasan alat selanjutnya menghubungi Damkar Tuban untuk meminta bantuan membukakan kontak sepeda motor",Penyelamatan Non Hewan & Bantuan Teknis,Normal,Bahaya Rendah
"30 Apr, 8:19",ular meresahkan warga,https://www.lapor.go.id/laporan/detil/ular-meresahkan-warga-202504301519351746001175304,Terdapat ular di pemukiman warga di Desa Bejagung Kecamatan Semanding,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:14",ular diatas plafon rumah,https://www.lapor.go.id/laporan/detil/ular-diatas-plafon-rumah-202504301514521746000892348,Laporan dari warga Kelurahan Sidorejo Kecamatan Tuban bahwa ada ular Phyton dengan panjang  4 m berjumlah 1 ekor yang berada  atas plafon  rumah.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:13",ular di kandang warga,https://www.lapor.go.id/laporan/detil/ular-di-kandang-warga-202504301513011746000781477,Laporan permintaan evakuasi ular di kandang salah seorang warga Desa. Mulyorejo- Parengan.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 8:05",pelepasan cincin,https://www.lapor.go.id/laporan/detil/pelepasan-cincin-202504301505161746000316244,Permohonan bantuan pelepaskan Cincin Titanium dari warga di Desa Sadang Kecamatan Jatirogo yang berada di jari tangannya.  korban bersama temannya datang langsung ke Pos Damkar karena sudah berupaya melepaskan cincin dengan minyak serta sabun namun hasilnya nihil.,Penyelamatan Non Hewan & Bantuan Teknis,Normal,Bahaya Rendah
"30 Apr, 8:02",ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202504301502231746000143805,Laporan ular dari salah satu warga di Kelurahan Latsari Kecamatan Tuban bahwa ada ular ditumpukan kayu,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:58",ular di dalam rumah,https://www.lapor.go.id/laporan/detil/ular-di-dalam-rumah-202504301458121745999892650,"Laporan dari salah satu warga di Desa Sumurjalak Kecamatan Plumpang bahwa ada ular yg berada di dalam rumahnya,",Evakuasi/Penyelamatan Hewan,Immediat,Bahaya Sedang
"30 Apr, 7:52",evakuasi tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202504301452341745999554399,Laporan evakuasi tawon dari salah satu warga di Kelurahan Karang Kecamatan Semanding,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:49",ular di pekarangan rumah,https://www.lapor.go.id/laporan/detil/ular-di-pekarangan-rumah-202504301449361745999376540,Laporan dari salah satu warga di Kelurahan Gedongombo Kecamatan Semanding mendapati ada ular yang akan masuk ke area dapur lewat pekarangan belakang rumah,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:47",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301447311745999251722,Laporan dari salah satu warga di Desa Nguruan Kecamatan Soko terdapat ular yang masuk rumah,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:45",sarang tawon meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-meresahkan-202504301445071745999107372,Laporan permohonan evakuasi Sarang Tawon Avinis Dari warga di Desa Sugihan Kecamatan Jatirogo yang berada di bawah atap genteng dengan Diameter -/+60cm,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:42",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301442181745998938840,Laporan permohonan evakuasi ular Cobra Dari salah satu warga di Desa Rengel Kecamatan Rengel yang berada di kandang ayam dengan Panjang  1 m.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:40",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301440061745998806966,Laporan dari warga di Desa Rengel Kecamatan Rengel terdapat ular pyton masuk ke kandang ayam warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:37",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301437571745998677995,Laporan Permohonan evakuasi sarang Tawon dari warga di Desa Tuwiri Kulon Kecamatan Merakurak,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:35",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301435511745998551853,Laporan dari warga di Kelurahan Sendangharjo Kecamatan Tuban terdapat ular diatas plafon rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:34",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301434011745998441240,Laporan dari salah satu warga di Desa Suwalan Kecamatan Jenu terdapat ular yang meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:32",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301432061745998326936,Laporan dari salah satu warga di Desa Trutup Kecamatan Rengel ada ular masuk rumah pelapor,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:29",ular diatas plafon,https://www.lapor.go.id/laporan/detil/ular-diatas-plafon-202504301429561745998196096,Laporan dari salah satu warga di Desa Gadon Kecamatan Tambakboyo terdapat ular diatas plafon rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:27",ular diatas pohon,https://www.lapor.go.id/laporan/detil/ular-diatas-pohon-202504301427571745998077435,Laporan dari salah satu warga di Kelurahan Kingking Kecamatan Tuban terdapat ular di atas pohon di pekarangan rumhanya. Dan minta untuk di evakuasi,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:26",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301426141745997974957,Laporan permohonan evakuasi Sarang Tawon Avinis Dari salah satu warga di Desa Wotsogo Kecamatan Jatirogo yang berada di Pohon mangga depan Mushola dengan Diameter -/+40cm,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:24",Ular pito di dapur,https://www.lapor.go.id/laporan/detil/ular-pito-di-dapur-202504301424201745997860900,Laporan dari salah satu warga di Desa Sidomulyo Kecamatan Jatirogo ada Ular Piton berukuran  sekitar  2.5 m berjumlah 1 ekor di atap dapur Ular Piton tersebut meresahkan aktifitas pemilik  rumah dan tetangga/warga setempat,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:21",Ular di pekarangan rumah,https://www.lapor.go.id/laporan/detil/ular-di-pekarangan-rumah-202504301421391745997699534,Laporan dari warga Desa Panyuran Kecamatan Palang  bahwa ada ular Phyton dengan panjang  3 m berjumlah 1 ekor yang berada  pekarangan rumah.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:18",Ular di Mesin Cuci,https://www.lapor.go.id/laporan/detil/ular-di-mesin-cuci-202504301418471745997527554,Laporan dari warga di Kelurahan Karangsari Kecamatan Tuban ada Ular Jenis Tali Picis berukuran   m  yang berada di atas mesin cuci  di dalam rumah .,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:16",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301416361745997396826,Laporan dari warga Desa Pucangan Kecamatan Palang bahwa ada ular Phyton dengan panjang  3 m berjumlah 1 ekor yang berada bongkaran Pedel,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:13",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301413131745997193917,Laporan dari warga di Desa Sawahan Kecamatan Rengel terdapat ular yang berkeliaran dan meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 7:10",Ular masuk Kandang Ayam,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-ayam-202504301410131745997013930,Laporan dari warga Desa Sugihan Kecamatan Jatirogo ada Ular Piton berukuran sekitar -/+ 3 m dan berjumlah 1 ekor di kandang Ayam.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 4:08",ular masuk kandang kambing,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-kambing-202504301108511745986131815,Laporan bahwa ada ular yg berada di kandang kambing milik warga di Desa Jegulo Kecamatan Soko,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 4:06",ular cobra,https://www.lapor.go.id/laporan/detil/ular-cobra-202504301106581745986018777,Laporan dari warga di Desa Mentoso Kecamatan Jenu terdapat ular cobra yang meresahkan warga,Evakuasi/Penyelamatan Hewan,Immediat,Bahaya Tinggi
"30 Apr, 11:03",Evakuasi Cincin,https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202504301103511745985831929,Laporan dari salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban meminta bantuan untuk melepaskan cincin akik di jari bapaknya,Penyelamatan Non Hewan & Bantuan Teknis,Normal,Bahaya Rendah
"30 Apr, 11:01",evakuasi biawak,https://www.lapor.go.id/laporan/detil/evakuasi-biawak-202504301101401745985700526,Laporan dari warga di Desa Panyuran Kecamatan palang terdapat Biawak di salah satu rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 11:00",biawak masuk rumah,https://www.lapor.go.id/laporan/detil/biawak-masuk-rumah-202504301100121745985612649,Laporan dari warga di Keluarahan Mondokan Kecamatan Tuban bahwa ada biawak masuk rumah dan minta dievakuasi.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:56",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301056111745985371482,Laporan dari warga di Link. Kiring Kecamatan Semanding terdapat ular yang meresahkan warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:54",Ular di atap rumah,https://www.lapor.go.id/laporan/detil/ular-di-atap-rumah-202504301054121745985252746,Laporan evakuasi ular di atap rumah warga di Kelurahan Gedongombo Kecamatan Semanding,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:52",ular di gorong-gorong,https://www.lapor.go.id/laporan/detil/ular-di-gorong-gorong-202504301052071745985127995,Laporan dari warga di Kelurahan Latsari Kecamatan Tuban terdapat Ular ke gorong-gorong,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:47",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301047431745984863073,Laporan ular di rumah warga di Kelurahan Perbon Kecamatan Tuban,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:45",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301045511745984751295,"Laporan permohonan Evakuasi ular Cobra Dari warga Desa Wotsogo Kecamatan Jatirogo yang berada di Kamar dengan Panjang+ 1,2m.",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:43",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301043411745984621378,"Laporan permohonan evakuasi Ular pyton yang berada di atap Rumah warga di Desa Jegulo Kecamatan Soko, menyebabkan keresahan bagi keluarga dan warga sekitar.",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:40",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301040351745984435278,"Laporan dari salah satu warga di Desa Maibet Kecamatan Soko, bahwa ada ular yg berada di dapur",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:38",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301038281745984308376,Laporan dari salah satu warga di Desa Sumberagung Kecamatan Plumpang bahwa dirumahnya ada ular yang mengganggu,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:35",Ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301035571745984157559,Laporan adanya ular di salah satu rumah warga di Desa Mulyoagung Kecamatan Singgahan,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:31",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301031411745983901369,Laporan permohonan evakuasi Ular pyton yang berada di kandang ayam milik warga di Dusun Wotsogo Kecamatan Jatirogo yang  menyebabkan Keresahan Bagi Keluarga dan Warga sekitar.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:28",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301028311745983711456,Adanya ular sawo kembang yg berada di kandang ayam milik warga di Desa Nguruan Kecamatan Soko,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"30 Apr, 10:17",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301017071745983027691,Api berasal dari konsleting listrik yang mengeluarkan percikan api dan menyambar benda sekitar yang terbuat kayu ( bahan mudah terbakar ) di Desa Kebonharjo Kecamatan Jatirogo,Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 10:14",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301014391745982879753,"Kebakaran akibat korsleting listrik terjadi di Kecamatan REngel, mohon bantuan untuk memadamkan",Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 10:12",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504301012421745982762986,"Salah satu warga mencium bau kebakaran yg sangat menyengat,setika itu tetangga korban langsung keluar rumah saat sudah diluar langsung kepulan api sudah membakar rumah yg ada disamping rumahnya seketika langsung teriak meminta tolong warga sekitar langsung berkeliaran mencoba memadamkan api dengan alat seadanya. Karena merasa api semakin besar langsung menghubungi tim pemadam kebakaran jatirogo.",Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 10:08",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301008501745982530308,Kebakaran Tabung LPG beserta Regulator dan Selang di salah satu tempat usaha di Kelurahan Kutorejo Kecamatan Tuban,Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 10:06",Kebakaran Toko,https://www.lapor.go.id/laporan/detil/kebakaran-toko-202504301006281745982388025,Kebakaran Toko Bangunan di Desa Sumurgung Kecamatan Palang,Kebakaran,Immediat,Bahaya Tinggi
"30 Apr, 9:54",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504300954441745981684771,Pemadam kebakaran dari warga bahwa ada kebakaran rumah di Desa Gesikan Kecamatan Grabagan kabupaten Tuban,Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 9:53",Kebakaran Tempat Usaha,https://www.lapor.go.id/laporan/detil/kebakaran-tempat-usaha-202504300953061745981586544,Terjadi kebakaran di salah satu tempat usaha milik warga di Desa Glondonggede Kecamatan Tambakboyo akibat  muncul percikan api dari instalasi listrik yang ada di pasar dan menyambar 2 kios yang ahirnya membakar 2 kios tersebut.,Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 9:50",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504300950191745981419584,Tolong pak damkar bisa dibantu memadamkan api di rumah warga di Desa Cendoro Kecamatan Palang akibat pemilik rumah ketika sedang memasak di dapur pemilik rumah sedang mengisi pertalite eceran dari jirigen ke botol kecil untuk di jual eceran. Namun selang beberapa saat tiba tiba api menyambar dari uap bensin ke nyala kompor pada radius -/+2m.,Kebakaran,Immediat,Bahaya Sedang
"30 Apr, 9:47",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504300947311745981251920,"Mohon bantuan memadamkan api di pemukimana warga di Desa Tuwiri Kulon Kecamatan Merakurak, Kebakaran di salah satu rumah warga akibat dari tungku yang ditinggal pemilik rumah",Kebakaran,Immediat,Bahaya Sedang
"24 Apr, 10:29",Taman MPP Yang Meresahkan,https://www.lapor.go.id/laporan/detil/taman-mpp-yang-meresahkan-202504241029061745465346935,"Ijin menyampaikan keluhan terkait taman depan MPP yang sering digunakan sebagai tempat pacaran/mesum, mohon diperhatikan karena minimnya penerangan akan membuat suasana semakin gelap. Beberapa hari ini lampu tidak menyala secara keseluruhan hanya beberapa saja. Mohon untuk ditindaklanjuti/pengecekan mengenai penerangan di area taman tersebut. Semoga segera ditindaklanjuti. Terima kasih",,,
"8 Apr, 10:45",Musik Becak,https://www.lapor.go.id/laporan/detil/musik-becak-202504072145501744037150653,Minta tolong ditertibkan untuk musik becak ziarah wali sunan bonang terlalu keras. sangat mengganggu kenyamanan warga sekitar apalagi saat tengah malam dan punya bayi,,,
"29 Mar, 21:39",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292139501743259190696,Laporan dari warga di Kecamatan Semanding bahwa ada ular di tumpukan kayu dekat rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:36",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292136541743259014733,Laporan dari warga di Desa Mulyoagung Kecamatan Singgahan bahwa ada ular di salah satu rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:34",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503292134231743258863103,"Laporan dari warga di Kecamatan Rengel, bahwa ada sarang tawon di atas rumahnya,",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:31",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292131551743258715449,"Laporan dari  warga di Desa Sidohasri Kecamatan Kenduruan ada Ular Tali Piton berukuran  sekitar 75cm cm dan berjumlah 1 ekor masuk kedalam rumah (di usuk genteng lalu kabur ke dalam tandon air). Ular Tali Picis tersebut meresahkan pelapor dan keluarga di rumah, selanjutnya yang bersangkutan meminta bantuan ke Rekan Damkar untuk dilakukan Evakuasi.",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:28",evakuasi biawak,https://www.lapor.go.id/laporan/detil/evakuasi-biawak-202503292128031743258483353,"Laporan adanya biawak di belakang rumah salah satu warga di Kelurahan Sendangharjo Kecamatan Tuban, karena takut pelapor melaporkan adanya biawak tersebut ke pos damkar",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:23",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202503292123411743258221503,Laporan dari warga di Desa Sumberagung Kecamatan Plumpang bahwa terdapat ular yang masuk rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:20",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292120401743258040487,Laporan dari warga di Kecamatan Semanding bahwa ada ular di salah satu rumah warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:17",ular masuk motor,https://www.lapor.go.id/laporan/detil/ular-masuk-motor-202503292117311743257851447,Laporan dari warga di Kelurahan Sisorejo Kecamatan Tuban bahwa ada ular yang masuk ke sepeda motor warga,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"29 Mar, 21:15",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292115211743257721726,Laporan dari warga di Kelurahan Kutorejo Kecamatan Tuban bahwa terdapat ular,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
